ETABLISSEMENT;PRIVE.PUBLIQUE;DEGRE;DENOMINATION;NOM_ECOLE;STATUT;ADRESSE;VILLE;ADRESS;LATITUDE;LONGITUDE;icon
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;RAYMOND DEVOS;NON DEMANDE;2 RUE DE LA GALETERIE 37160 86042;BUXEUIL;2 RUE DE LA GALETERIE 37160 86042, BUXEUIL;46,9751187;0,6737401;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;JEAN MERMOZ;NON DEMANDE;2 RUE DE LARNAY 86000;POITIERS;2 RUE DE LARNAY 86000, POITIERS;46,58914786;0,323580934;www/black.png
SECOND DEGRE PRIVE;PRIVE;COLLEGE;COLLEGE;HORS CONTRAT LES HIRONDELLES;NON DEMANDE;2 RUE DE L'AUXANCE 86190;VOUILLE;2 RUE DE L'AUXANCE 86190, VOUILLE;46,6323452;0,181435;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;BOURNAND;NON DEMANDE;2 RUE DE L'ECOLE 86120;BOURNAND;BOURNAND, RUE EMILE BOMBARDIER, LE BOURG, BOURNAND, CHATELLERAULT, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86120, FRANCE;47,0862396;0,0777894;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;SAMUEL DE CHAMPLAIN;NON DEMANDE;2 RUE DE L'ECOLE 86190;AYRON;2 RUE DE L'ECOLE 86190, AYRON;46,66122838;0,07543941;www/black.png
PREMIER DEGRE PRIVE;PRIVE;ECOLE;ECOLE PRIMAIRE PRIVEE;SAINTE RADEGONDE;NON DEMANDE;2 RUE DE MONTBERNAGE 86000;POITIERS;2 RUE DE MONTBERNAGE 86000, POITIERS;46,5837227;0,35472845;www/black.png
SECOND DEGRE PUBLIQUE;PUBLIQUE;COLLEGE;COLLEGE;ANDRE BROUILLET;NON DEMANDE;2 RUE DE SWAFFHAM 86700;VALENCE-EN-POITOU;2 RUE DE SWAFFHAM 86700, VALENCE-EN-POITOU;46,30104805;0,186689058;www/black.png
SECOND DEGRE PRIVE;PRIVE;COLLEGE;COLLEGE;HORS CONTRAT TALIA;NON DEMANDE;2 RUE DES MOULINS 86110;CHOUPPES;2 RUE DES MOULINS 86110, CHOUPPES;46,81014381;0,164652442;www/black.png
PREMIER DEGRE PRIVE;PRIVE;ECOLE;ECOLE PRIMAIRE PRIVEE;PARENTALE;NON DEMANDE;2 RUE DES MOULINS 86110;CHOUPPES;2 RUE DES MOULINS 86110, CHOUPPES;46,81014381;0,164652442;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE;VERGER SUR DIVE;NON DEMANDE;2 RUE DES PORCHES 86330;LA GRIMAUDIERE;2 RUE DES PORCHES 86330, LA GRIMAUDIERE;46,7839606;0,063703437;www/black.png
